name,carbs,fats,proteins
BABYFOOD.CRL.WHL WHEAT.W/ APPLS.DRY FORT,83.2,4.8,6.6
BABYFOOD.DINNER.APPLS&CHICK.STR,10.88,1.38,2.16
BABYFOOD.DINNER.BF LASAGNA.TODD,10,2.1,4.2
BABYFOOD.DINNER.BF NOODLE.JR,7.3,1.9,2.5
BABYFOOD.DINNER.BF NOODLE.STR,8.18,2.26,2.44
BABYFOOD.DINNER.BF STEW.TODD,5.5,1.2,5.1
BABYFOOD.DINNER.BF W/VEG,6.36,6.93,2.03
BABYFOOD.DINNER.BF&RICE.TODD,8.8,2.9,5
BABYFOOD.DINNER.BROCCOLI & CHICK.JR,6.34,2.48,3.59
BABYFOOD.DINNER.CHICK NOODLE.JR,8.79,1.18,2.37
BABYFOOD.DINNER.CHICK NOODLE.STR,9.08,2.06,2.69
BABYFOOD.DINNER.CHICK SOUP.STR,7.2,1.7,1.6
BABYFOOD.DINNER.CHICK&NOODLE W/VEG.TODD,8.89,1.7,3.8
BABYFOOD.DINNER.CHICK&RICE,9.2,0.9,1.6
BABYFOOD.DINNER.MACARONI&CHS.JR,8.2,2,2.6
BABYFOOD.DINNER.MACARONI&CHS.STR,8.95,2.11,3.14
BABYFOOD.DINNER.MACARONI&TOMATO&BF.JR,9.4,1.1,2.5
BABYFOOD.DINNER.MACARONI&TOMATO&BF.STR,9.45,1.47,2.36
BABYFOOD.DINNER.MACARONI.BF&TOMATO SAU.TODD,11.53,1.9,4.34
BABYFOOD.DINNER.MXD VEG.JR,7.88,0.11,1.01
BABYFOOD.DINNER.MXD VEG.STR,9.5,0.1,1.2
BABYFOOD.DINNER.PASTA W/VEG,8.4,2.1,1.7
BABYFOOD.DINNER.POTATOES W/CHS&HAM.TODD,11.97,2,3.5
BABYFOOD.DINNER.SPAGHETTI&TOMATO&MEAT.JR,11.42,1.37,2.57
BABYFOOD.DINNER.SPAGHETTI&TOMATO&MEAT.TODD,10.8,1,5.3
BABYFOOD.DINNER.SWT POTATOES&CHICK.STR,11.04,2.17,2.51
BABYFOOD.DINNER.TURKEY & RICE.JR,9.57,0.92,2.37
BABYFOOD.DINNER.TURKEY&RICE.STR,7.94,1.24,2.27
BABYFOOD.DINNER.VEG CHICK.STR,8.42,1.73,2.47
BABYFOOD.DINNER.VEG&BACON.STR,8.81,2.95,1.92
BABYFOOD.DINNER.VEG&BF.JR,8.84,3.6,2.21
BABYFOOD.DINNER.VEG&BF.STR,8.84,3.6,2.21
BABYFOOD.DINNER.VEG&CHICK.JR,8.66,1.12,2.04
BABYFOOD.DINNER.VEG&DUMPLINGS&BF.JR,8,0.8,2.1
BABYFOOD.DINNER.VEG&DUMPLINGS&BF.STR,7.7,0.9,2
BABYFOOD.DINNER.VEG&HAM.JR,8.64,1.89,2.02
BABYFOOD.DINNER.VEG&HAM.STR,7.8,2.14,2.19
BABYFOOD.DINNER.VEG&LAMB.JR,7.1,1.7,2.1
BABYFOOD.DINNER.VEG&LAMB.STR,6.9,2,2
BABYFOOD.DINNER.VEG&NOODLES&TURKEY.JR,7.6,1.5,1.8
BABYFOOD.DINNER.VEG&NOODLES&TURKEY.STR,6.8,1.2,1.2
BABYFOOD.DINNER.VEG&TURKEY.JR,7.55,1.74,1.72
BABYFOOD.DINNER.VEG&TURKEY.STR,7.62,0.9,2.32
BABYFOOD.DINNER.VEG.NOODLES&CHICK.JR,9.1,2.2,1.7
BABYFOOD.DINNER.VEG.NOODLES&CHICK.STR,7.9,2.5,2
BABYFOOD.DSSRT.BANANA PUDD.STR,14.14,0.8,1
